ref,x1,y1,x2,y2,angCONN,axCONN,axid,axLEN,axref,CONN,segLEN,CH,INT,NC,TD,NACH,NAIN
603,424140.222468,563709.629736,424146.532105,563728.292555,3.1346216,4,585,19.700567,584,4,19.700567,9465,1484.1948,8597,49796.973,0.846491923068774,1.05680759469218
604,424128.695564,563708.900332,424140.222468,563709.629736,2.0580332,4,586,11.549959,585,4,11.549959,110361,1533.5858,8597,48193.199,1.07683232772721,1.09197459428004
618,422572.170919,563869.268605,422608.061582,564001.953175,4.0407495,6,599,137.45303,598,6,137.45303,943583,1483.7041,8597,49813.441,1.27194092380912,1.05645823499326
619,422608.061582,564001.953175,422621.439099,564051.407727,4.2315216,6,600,51.23193,599,6,51.23193,966869,1483.5569,8597,49818.387,1.27418315139886,1.05635335338264
620,422621.439099,564051.407727,422635.18094,564102.205124,4.0238724,6,601,52.623318,600,6,52.623318,1043210,1483.5869,8597,49817.379,1.28121155419071,1.05637472667556
621,422635.18094,564102.205124,422670.093554,564231.274325,2.8115749,5,602,133.7077,601,5,133.7077,1110750,1483.5918,8597,49817.215,1.28701185953335,1.0563782041582
622,422670.093554,564231.274325,422682.702792,564277.898668,1.7862289,4,603,48.299297,602,4,48.299297,1180445,1483.5934,8597,49817.16,1.29263837638081,1.05637937039226
623,422682.702792,564277.898668,422687.555339,564295.839695,1.9687798,4,604,18.585684,603,4,18.585684,1228473,1483.5431,8597,49818.848,1.29632142464134,1.05634357878194
624,422687.555339,564295.839695,422701.434478,564347.03868,3.1365814,5,605,53.046833,604,5,53.046833,1212946,1483.2402,8597,49829.02,1.29512098484221,1.05612794749678
625,422701.434478,564347.03868,422724.206044,564427.472169,3.1414943,5,606,83.594803,605,5,83.594803,1421183,1484.2263,8597,49795.918,1.30984932184682,1.05682998382123
626,422724.206044,564427.472169,422739.375008,564480.430531,2.9878688,5,607,55.087978,606,5,55.087978,1465011,1484.2297,8597,49795.801,1.31265783671541,1.05683246684469
627,422310.319462,563610.255534,422334.392417,563581.730289,2.4110506,4,608,37.32555,607,4,37.32555,589801,1316.2815,8597,56149.395,1.2150471168592,0.937250675148338
628,422296.16569,563638.529343,422310.319462,563610.255534,2.2840662,4,609,31.618626,608,4,31.618626,379398,1301.4814,8597,56787.906,1.17348948597777,0.926712801290268
